Service,Category,Subcategory,Team Default,Aliases
Enterprise Applications,Avaya Voicemail,Request a new Report,IT Support Desk,
Enterprise Applications,BACCLITE,Issue with a Report,IT Support Desk,
Enterprise Applications,BACCLITE,Issue with App Client Software,IT Support Desk,
Enterprise Applications,BACCLITE,Report an Application Issue,IT Support Desk,
Enterprise Applications,BACCLITE,Request a change to a Report,IT Support Desk,
Enterprise Applications,BACCLITE,Request a new Report,IT Support Desk,
Enterprise Applications,App Dynamics,Issue with a Report,IT Support Desk,
Enterprise Applications,App Dynamics,Issue with App Client Software,IT Support Desk,
Enterprise Applications,BENTLEY (BHN),Issue with App Client Software,IT Support Desk,
Enterprise Applications,BENTLEY (BHN),Report an Application Issue,IT Support Desk,
Enterprise Applications,BENTLEY (BHN),Request a change to a Report,IT Support Desk,
Enterprise Applications,BENTLEY (BHN),Request a new Report,IT Support Desk,
Enterprise Applications,BOTTRACKER,Enhancement Request,IT Support Desk,
Enterprise Applications,BOTTRACKER,Request a new Report,IT Support Desk,
Enterprise Applications,Kenexa Brassring,Enhancement Request,IT Support Desk,
Enterprise Applications,Kenexa Brassring,Issue with a Report,IT Support Desk,
Enterprise Applications,BRM,Enhancement Request,IT Support Desk,
Enterprise Applications,BRM,Issue with a Report,IT Support Desk,
Enterprise Applications,BRM,Issue with App Client Software,IT Support Desk,
Enterprise Applications,CHANNEL LINE-UP (CLU),Enhancement Request,IT Support Desk,
Enterprise Applications,CHANNEL LINE-UP (CLU),Request a new Report,IT Support Desk,
Enterprise Applications,CETOVA,Request a new Report,IT Support Desk,
Enterprise Applications,CENS,Request a change to a Report,IT Support Desk,
Enterprise Applications,CENS,Request a new Report,IT Support Desk,
Enterprise Applications,Broadworks,Enhancement Request,IT Support Desk,
Enterprise Applications,Broadworks,Issue with a Report,IT Support Desk,
Enterprise Applications,Broadworks,Issue with App Client Software,IT Support Desk,
Enterprise Applications,Broadworks,Report an Application Issue,IT Support Desk,
Enterprise Applications,C360 DASHBOARD,Enhancement Request,IT Support Desk,
Enterprise Applications,C360 DASHBOARD,Issue with a Report,IT Support Desk,
Enterprise Applications,C360 DASHBOARD,Issue with App Client Software,IT Support Desk,
Enterprise Applications,C360 DASHBOARD,Report an Application Issue,IT Support Desk,
Enterprise Applications,C360 DASHBOARD,Request a change to a Report,IT Support Desk,
Enterprise Applications,CABS,Enhancement Request,IT Support Desk,
