Service,Category,Subcategory,Team Default,Aliases
Security,Password Reset,WFX,IT Support Desk,
Security,Password Reset,Workassure,IT Support Desk,
People Management,Onboarding/Offboarding,Desk/Office Move,IT Support Desk,
People Management,Account Management,Reset Password,IT Support Desk,
Security,Password Reset,ICOMS,IT Support Desk,
Enterprise Applications,Arterra,Login Issue,IT Support Desk,
Enterprise Applications,UXID,Report an Application Issue,IT Support Desk,
Enterprise Applications,Zoom,Report an Application Issue,IT Support Desk,
Desktop Software,Microsoft Teams,Issue with Software,IT Support Desk,
Enterprise Applications,FM Interact,Report an Application Issue,IT Support Desk,
